Time (min)	Step (s)	Value (EU)
15.000000	0.5	-0.067930
15.008333	0.5	-0.070078
15.016667	0.5	-0.074571
15.025000	0.5	-0.078868
15.033333	0.5	-0.080039
15.041667	0.5	-0.077500
15.050000	0.5	-0.070274
15.058333	0.5	-0.061680
15.066667	0.5	-0.052110
15.075000	0.5	-0.044493
15.083333	0.5	-0.038828
15.091667	0.5	-0.040000
15.100000	0.5	-0.045469
15.108333	0.5	-0.053282
15.116667	0.5	-0.061289
15.125000	0.5	-0.066953
15.133333	0.5	-0.069297
15.141667	0.5	-0.068711
15.150000	0.5	-0.068711
15.158333	0.5	-0.069102
15.166667	0.5	-0.072032
15.175000	0.5	-0.075743
15.183333	0.5	-0.079844
15.191667	0.5	-0.083555
15.200000	0.5	-0.083360
15.208333	0.5	-0.081407
15.216667	0.5	-0.081407
15.225000	0.5	-0.081407
15.233333	0.5	-0.081016
15.241667	0.5	-0.078282
15.250000	0.5	-0.075157
15.258333	0.5	-0.072618
15.266667	0.5	-0.070274
15.275000	0.5	-0.068907
15.283333	0.5	-0.070274
15.291667	0.5	-0.076914
15.300000	0.5	-0.086485
15.308333	0.5	-0.091563
15.316667	0.5	-0.089414
15.325000	0.5	-0.081993
15.333333	0.5	-0.075547
15.341667	0.5	-0.073985
15.350000	0.5	-0.077500
15.358333	0.5	-0.081797
15.366667	0.5	-0.085703
15.375000	0.5	-0.087266
15.383333	0.5	-0.087266
15.391667	0.5	-0.086485
15.400000	0.5	-0.085508
15.408333	0.5	-0.083946
15.416667	0.5	-0.080430
15.425000	0.5	-0.077500
15.433333	0.5	-0.074375
15.441667	0.5	-0.071836
15.450000	0.5	-0.070274
15.458333	0.5	-0.067930
15.466667	0.5	-0.065000
15.475000	0.5	-0.063243
15.483333	0.5	-0.063243
15.491667	0.5	-0.067930
15.500000	0.5	-0.075157
15.508333	0.5	-0.084336
15.516667	0.5	-0.090977
15.525000	0.5	-0.091953
15.533333	0.5	-0.089610
15.541667	0.5	-0.086289
15.550000	0.5	-0.085118
15.558333	0.5	-0.085313
15.566667	0.5	-0.085899
15.575000	0.5	-0.082578
15.583333	0.5	-0.076328
15.591667	0.5	-0.069297
15.600000	0.5	-0.063438
15.608333	0.5	-0.056993
15.616667	0.5	-0.050157
15.625000	0.5	-0.043321
15.633333	0.5	-0.038438
15.641667	0.5	-0.040586
15.650000	0.5	-0.046055
15.658333	0.5	-0.050352
15.666667	0.5	-0.051524
15.675000	0.5	-0.052500
15.683333	0.5	-0.056016
15.691667	0.5	-0.062852
15.700000	0.5	-0.069688
15.708333	0.5	-0.072422
15.716667	0.5	-0.071055
15.725000	0.5	-0.068907
15.733333	0.5	-0.070469
15.741667	0.5	-0.075157
15.750000	0.5	-0.082383
15.758333	0.5	-0.088047
15.766667	0.5	-0.091368
15.775000	0.5	-0.092930
15.783333	0.5	-0.093125
15.791667	0.5	-0.091758
15.800000	0.5	-0.088243
15.808333	0.5	-0.082188
15.816667	0.5	-0.074375
15.825000	0.5	-0.067930
15.833333	0.5	-0.064024
15.841667	0.5	-0.066953
15.850000	0.5	-0.074571
15.858333	0.5	-0.083360
15.866667	0.5	-0.087461
15.875000	0.5	-0.086094
15.883333	0.5	-0.082188
15.891667	0.5	-0.082383
15.900000	0.5	-0.087266
15.908333	0.5	-0.092735
15.916667	0.5	-0.095664
15.925000	0.5	-0.095860
15.933333	0.5	-0.093516
15.941667	0.5	-0.091368
15.950000	0.5	-0.087852
15.958333	0.5	-0.084336
15.966667	0.5	-0.083360
15.975000	0.5	-0.083555
15.983333	0.5	-0.084336
15.991667	0.5	-0.083750
16.000000	0.5	-0.081407
16.008333	0.5	-0.080821
16.016667	0.5	-0.083555
16.025000	0.5	-0.087071
16.033333	0.5	-0.087461
16.041667	0.5	-0.082969
16.050000	0.5	-0.074375
16.058333	0.5	-0.064610
16.066667	0.5	-0.053282
16.075000	0.5	-0.039219
16.083333	0.5	-0.019493
16.091667	0.5	0.005898
16.100000	0.5	0.034023
16.108333	0.5	0.064297
16.116667	0.5	0.097695
16.125000	0.5	0.139101
16.133333	0.5	0.192031
16.141667	0.5	0.257070
16.150000	0.5	0.337539
16.158333	0.5	0.433437
16.166667	0.5	0.548086
16.175000	0.5	0.685000
16.183333	0.5	0.850039
16.191667	0.5	1.048086
16.200000	0.5	1.280703
16.208333	0.5	1.550234
16.216667	0.5	1.858437
16.225000	0.5	2.210390
16.233333	0.5	2.610000
16.241667	0.5	3.058047
16.250000	0.5	3.548086
16.258333	0.5	4.072695
16.266667	0.5	4.623672
16.275000	0.5	5.190664
16.283333	0.5	5.761953
16.291667	0.5	6.320743
16.300000	0.5	6.847890
16.308333	0.5	7.324648
16.316667	0.5	7.731875
16.325000	0.5	8.051016
16.333333	0.5	8.269179
16.341667	0.5	8.379922
16.350000	0.5	8.382461
16.358333	0.5	8.276602
16.366667	0.5	8.063516
16.375000	0.5	7.746523
